text	label
so when was car in shop	last_maintenance
please tell me when the last time was that my car was in the shop	last_maintenance
when was my car last repaired	last_maintenance
can you help me find the interest rate for my sba account	interest_rate
would you tell me the interest rate	interest_rate
what's the nutritional info for a cup of noodle soup	nutrition_info
what's the nutritional info for an apple	nutrition_info
can you remember the nutritional info for macaroni and cheese	nutrition_info
is chocolate bad for you or good for you	nutrition_info
how many kinds of nutrients does a glass of rice milk have	nutrition_info
how nutritious are cheerios	nutrition_info
what is the nutritional info for kraft mac 'n' cheese	nutrition_info
can you tell me how many calories are in an apple	nutrition_info
is rice good for me	nutrition_info
alexa, book a rental car to los angeles county in 2 hours	car_rental
could i rent a car from tuesday to thursday out of lax	car_rental
i really need to get a volkswagen car rental for march 5th to march 8th in phoenix	car_rental
i need to rent a car kfor one week in ocean city, nj so who has the best deal	car_rental
i'd like to rent a limo in las vegas from may 01, 2019 to may 03, 2019	car_rental
i need you to get me a rental car in nashville	car_rental
where can i rent a car in singapore	car_rental
please book a car for me in bangkok	car_rental
find out if i can rent a car in los angeles from march 2-9	car_rental
when do i need to change my motor oil	oil_change_when
i must know when should i get my oil changed next	oil_change_when
when do i need you change my oil	oil_change_when
when's my next oil change due	oil_change_when
how many miles can i drive before needing the next oil change	oil_change_when
how much longer until i need to get my oil changed	oil_change_when
what is the next date that i should change my oil at	oil_change_when
i need to report my card as stolen, please	report_lost_card
i want to report my card as lost	report_lost_card
i think my visa card was stolen	report_lost_card
i'd like to report my card as stolen	report_lost_card
i need to report credit card theft	report_lost_card
i lost my debit card and need it reported as lost	report_lost_card
who do i speak with about my card that was lost	report_lost_card
how do i report the card as lost	report_lost_card
what are the steps to take to report a lost card	report_lost_card
i can't find my discover card, how do i report it	report_lost_card
my visa was stolen	report_lost_card
how do i report a lost card	report_lost_card
can you report my lost discover card	report_lost_card
what is al's age	how_old_are_you
you're how old	how_old_are_you
what is your birth date	how_old_are_you
your age please	how_old_are_you
how many years have you been alive	how_old_are_you
how many years have you been on	how_old_are_you
how long have you been alive	how_old_are_you
where did you grow up	how_old_are_you
what's your birth date	how_old_are_you
when's your birthday	how_old_are_you
what is your age again	how_old_are_you
what's the artist's name of this song	what_song
i'd like to know this song's name	what_song
let me know what song is playing	what_song
what's this song called	what_song
what's the name of the song that we are listening to	what_song
what is the information on this song	what_song
i would like to know this song's title	what_song
what's the name of the current song	what_song
what song is currently playing	what_song
which song are we listening to	what_song
what’s the name of this song	what_song
who is the singer on the speaker now	what_song
i need this song title	what_song
i need to know the title of this song	what_song
who sang this song	what_song
can i find my w-2 online	w2
how can i get my w2 to do my taxes	w2
where can i find my w2 as i need it for tax reasons	w2
where is my w2	w2
how can i get a hold of my w-2	w2
i need a w2 form from	w2
where would my w2 be found so i can do my taxes	w2
can i get a w2 form online	w2
i wanna know where to get my w2	w2
can you trll me where to get my w2	w2
i must know where to get my w2	w2
tell me where to a w2 form	w2
i need help getting a w-2	w2
i need a w2 form, how do i get one	w2
where could i locate a w2 form from	w2
i need to know where to get a w-2 form	w2
what is the minimum i can pay on my credit card bill	min_payment
i'd like to know my minimum payment please	min_payment
do you know the smallest amount i can pay on my water bill	min_payment
how small of a payment can i make for my chase card bill	min_payment
what would be the least i could pay on this bill	min_payment
let me know the minimum i can pay on my cable bill	min_payment
the minumum to pay is what	min_payment
minimum payment for my credit card	min_payment
what is the lowest amount i can pay for my cellphone bill	min_payment
what's the minimum i can pay on my sewer bill	min_payment
what is the minimum payment on my phone bill	min_payment
minimum payment of my bill please	min_payment
how little can i pay on my phone bill	min_payment
what is the least amount i can pay for power bill	min_payment
what is the lowest amount i can pay for my insurance bill	min_payment
what is the minimum i can pay for my light bill	min_payment
my card was destroyed when my house burned down and i need a replacement	damaged_card
my card isn't working because its destroyed	damaged_card
i need to replace a card that my daughter spilled juice on	damaged_card
my card's magnetic strip is not working and i want to notify them	damaged_card
my card is damaged and unusable	damaged_card
i need to report that my dog chewed up my card	damaged_card
my visa has been damaged	damaged_card
the chip on my card is damaged and i need a new one	damaged_card
my card isn't working	damaged_card
my card broke in half and i need to report this	damaged_card
my dog swallowed my credit card and i need a new one	damaged_card
i would like to report a damaged card that was burnt	damaged_card
my card became damaged when i dropped it in the parking lot and it got ran over	damaged_card
the magnetic strip on my card is scratched up pretty badly from overuse can i get a new one	damaged_card
i need to report a new card please the atm hurt mine	damaged_card
how do you report a burned debit card	damaged_card
the plastic numbers on my card are falling off	damaged_card
i dropped my card in my gasoline and the printing wore off	damaged_card
my card is not working and i need to let them know	damaged_card
tell me how to go about reporting a damaged card	damaged_card
i need a report form for my damaged, demagnetized card	damaged_card
i don't know who to notify that i ran my credit card over with the lawn mower	damaged_card
i accidentally bent my card, what do i do	damaged_card
unfortunately, my card is damaged and unusable	damaged_card
can you assist me with reporting that the atm nicked my card	damaged_card
my card is damaged so i can not use it	damaged_card
when my house burned down, so did my card	damaged_card
my credit card got torn and i need a new one	damaged_card
report that the card has been wrecked	damaged_card
my friends call me sam	change_user_name
i want you to call me this new name	change_user_name
i prefer to go by brad	change_user_name
i want to be called mollie	change_user_name
you can just speak to me as jim	change_user_name
ai, refer to me as deb when answering me	change_user_name
i need you to call me mary	change_user_name
you can call me carrie	change_user_name
ai, my name is deb please use my name when you talk to me	change_user_name
you can call me sarah	change_user_name
will you start calling me chaz	change_user_name
i am john	change_user_name
address me by the name stan	change_user_name
i'd like you to refer to me as bob	change_user_name
call me carrie	change_user_name
just call me dennis	change_user_name
i am david	change_user_name
