text	label
what is chase bank's routing number	routing
i need to know nfcu's routing number	routing
where do i go if i am seeking the routing number of dallas capital	routing
what's the routing number for my bank of the west account	routing
i want to know what my routing number is	routing
where do i find the routing number for usaa	routing
what is the location that td bank has their routing number listed	routing
is there a routing number for wachovia	routing
what is the routing number of my checking account at first national bankj	routing
what would wells fargo use as routing	routing
ai, what is the routing number for my citibank savings account	routing
does pnc have a routing number	routing
where do i find the routing number for sunflower bank	routing
tell me my bank routing number	routing
what is my pnc account routing number	routing
ai, what is my chase checking routing number	routing
what routing number do i use to send an international wire with citibank	routing
could you tell me the routing number for my chase checking account	routing
how can i find my routing number from bank of america	routing
please find my routing number for my citizens' bank account	routing
tell me my routing number at my bank, community trust	routing
i need the routing number for my woodlawn account	routing
i must learn my routing number	routing
where is wells fargo's routing number listed	routing
i need to know what my wife's account's routing number is	routing
i need to know chase banks routing #	routing
where should i go to find the routing number for well's fargo	routing
how can i find my routing number for el dorado	routing
what is my routing number	routing
what's my bank routing number	routing
can i get the routing number for sunflower bank	routing
i need to know my bank of america routing number	routing
where do i find my routing number for my pnc account	routing
what's my routing number from chase	routing
routing number for american river	routing
ai, what is my chase routing number	routing
where can i look up x's routing number	routing
let me know chase's routing number	routing
where do i locate the routing number for the credit union	routing
what's the routing number for my money market account	routing
i know i should pay my electric bill	pay_bill
i need help paying my tuition bill	pay_bill
i am not sure how to pay my phone bill and need assistance	pay_bill
how can i pay my bill	pay_bill
i need help paying my rent bill	pay_bill
i want to pay a bill	pay_bill
i need help paying my auto insurance bill	pay_bill
can i pay a bill	pay_bill
pay my gas bill from my saving account	pay_bill
what's the best way to pay my bill	pay_bill
can you pay the bill now	pay_bill
i want to pay my cable bill directly from my checking account	pay_bill
please pay my utility bill from my wells fargo checking account	pay_bill
use my savings account to pay xfinity	pay_bill
pay my internet bill with my discover account	pay_bill
tell me if you can help pay a bill	pay_bill
i'd like to pay my coned bill	pay_bill
i need help paying my store bill	pay_bill
i'd like to pay $4735 to my water bill	pay_bill
i am going to need help paying my rent bill	pay_bill
i want to pay my internet bill	pay_bill
are you able to help me pay my mortgage	pay_bill
pay my con edison bill using my capital one account	pay_bill
please help me pay my cable bill	pay_bill
will you take my bill payment	pay_bill
i need to put in a payment towards my phone bill	pay_bill
i need help paying my hoa bill	pay_bill
i want to pay my car payment	pay_bill
i want to do a payment on my water bill	pay_bill
i need a hand getting this gas bill paid	pay_bill
please pay my bill	pay_bill
today my electric bill will be paid, or should be	pay_bill
can anyone help me pay my car bill	pay_bill
pay electric	pay_bill
pay my utility bill from my bank account	pay_bill
i need to pay my bill	pay_bill
use my park bank account to pay my electric bill	pay_bill
i want to pay my car bill	pay_bill
can you help me pay a bill	pay_bill
i need help paying my phone bill	pay_bill
appreciated	thank_you
i can not thank you enough	thank_you
thank you ever so much for that!	thank_you
your help is appreciated	thank_you
i appreciate you helping me	thank_you
i appreciate that answer!	thank_you
i appreciate it	thank_you
thanks, you've helped me	thank_you
thanks for the info	thank_you
thank you for your assistance	thank_you
okay thanks	thank_you
thank you very much for the answer	thank_you
thank you for your help	thank_you
thanks for helping out	thank_you
great, thanks!	thank_you
thanks for that response	thank_you
thanks again!	thank_you
you did a good job thank you	thank_you
appreciate it	thank_you
thanks so much ai	thank_you
thanks for that answer	thank_you
i am very grateful	thank_you
thank you for your time and trying to help	thank_you
i appreciate the assistance	thank_you
much obliged	thank_you
thank ya!	thank_you
thanks a lot for the answer	thank_you
i have much gratitude for your help	thank_you
