text	label
yes, that's right	yes
i'm too drunk to drive and need an uber home	uber
that is incorrect	no
i need to get some assistance figuring out how to rollover my 401k, please	rollover_401k
what's the updated status of my order	order_status
it could be either	maybe
what exactly is my credit limit	credit_limit
can you let me listen to elvis	play_music
what is good riddance mean	definition
"""i want to hear the song that has, """"baby shark, doo doo"""	play_music
can you get me any recommendations for the place i'm traveling to	travel_suggestion
i need to obtain and uber	uber
what is three quarters of one sixth	calculator
what animals await you at home	do_you_have_pets
please speak faster	change_speed
how do you say your name	what_is_your_name
i would love to know the closest gas station to glendale	directions
what date will my next paycheck be here	payday
are you a person that's real	are_you_a_bot
i need to know the travel alerts for kenya	travel_alert
can you tell me where my phone is	find_phone
let me know when it's been 5 minutes	timer
can you tell me what 30% off 279 is	calculator
can you tell bob to get his dog via text	text
when's the next federally recognized holiday	next_holiday
the timer is calculated for 10 minutes	timer
i need to know how many teaspoons are equivalent to two tablesppons	measurement_conversion
how do i make my credit score better	improve_credit_score
how expensive is it to fuel this car	mpg
what types of questions do you have a response for	what_can_i_ask_you
for friday, add a doctor's appointment to my calendar	calendar_update
is butter ok to use instead of oil	ingredient_substitution
is there a wait time to get into tgifridays	how_busy
can you tell me what dirge means	definition
what pets do you have	do_you_have_pets
how do you spell verisimilitude	spelling
please tell me the reason for the hold on my bb&t account	account_blocked
how many vacation days have i accumulated	pto_balance
how long does it take until i reach the sky harbor airport	distance
there's been some fraudulent activity on my card	report_fraud
can you please help me locate my luggage	lost_luggage
can you tell me about the traffic typically at noon on the route the hospital	traffic
suggest some things for me to do while i am in los angeles	travel_suggestion
go back to your normal settings please	reset_settings
which gas type does this car take	gas_type
reserve me a flight from ft lauderdale to houston on southwest	book_flight
is the next day off coming up	next_holiday
i need to buy everything on the shopping list	order
what is my visa card limit	credit_limit
please increase the speed of your speech, it is too slow	change_speed
schedule an uber to the mall	uber
i just got this new job but i need help with my 401k rollover	rollover_401k
what's a good italian meal	meal_suggestion
what is the sum of 10 plus 5	calculator
how is my calendar looking for may 6th	calendar
create a new reminder to study for my final exams	reminder_update
what's the right way to spell miscellaneous	spelling
what company do you toil for	who_do_you_work_for
what's the amount of time off i've had	pto_used
i want to get new insurance	insurance_change
i need someone to look at my check engine light	schedule_maintenance
how much gas does this use in the city	mpg
i need to know the time	time
i want directions to phoenix	directions
let sal know by text i will be attending	text
how much farther is orlando from my location	distance
are there any travel alerts for seattle	travel_alert
i would like to make a pto request for july 17th and 18th	pto_request
how many pesos equals 500 dollars	exchange_rate
how do you cooked eggs	recipe
how much credit do i have on my discover card	credit_limit
what is my gross income per pay period	income
i need more cat food, please order some	order
what kind of gas should i use to fill the car	gas_type
travel alert in cuba	travel_alert
x is what i am calling you now	change_ai_name
"""how do you spell """"exactly"""	spelling
i want to report fraudulent activity on my navy federal card	report_fraud
what is it at, the ac temperature	smart_home
yes you are correct	yes
that's true	yes
do i need vaccinations to travel there	vaccines
can i get a reservation at champs	accept_reservations
how do i get to the court house on foot	directions
i didn't hear you, can you repeat that louder	repeat
right now, i need to know the meaning of life	meaning_of_life
remind me to check the steak	reminder_update
how long should i expect to wait for my replacement credit card	replacement_card_duration
how much paid time off do i have left	pto_used
please unsync from my phone right now	sync_device
where should i go for food tonight	restaurant_suggestion
i'd like to make an appointment to get my oil changed	schedule_maintenance
hey, ai	greeting
chase account options direct deposit	direct_deposit
tv turn it on	smart_home
is it safe to travel to bermuda	travel_alert
please find out if rooms are free from 1 to 2	schedule_meeting
explain to me the trivia on twilight	fun_fact
can you read my gas level	gas
why am i seeing a hold on my boa account	account_blocked
show me the way to jump start a battery	jump_start
i need an airline ticket for a round trip flight from philadelphia to atlanta for the dates of june 5 - 8	book_flight
i need to know my spending limit on my visa	credit_limit
what's the name i should use to talk to you	what_is_your_name
i can't say	maybe
does applebees do reservations	accept_reservations
is there a fee to use my card in france	international_fees
do i have a ways to go or am i close to getting to penn station	distance
is waffles on my list for shopping	shopping_list
i need a recipe on how to make beef stew	recipe
will you tell me my credit score	credit_score
call aj now	make_call
could you submit a pto request for me from dates oct thirty to nov second	pto_request
true, most definitely	yes
the staff meeting on march 1 at 10:00 am needs to be added to my calendar	calendar_update
set an alarm for 05:00 and one for 16:00	alarm
what's a good use of my time in toronto	travel_suggestion
exactly right	yes
please run that by me again	repeat
pull up my shower playlist	play_music
connect me with some new insurance	insurance_change
does olive garden have good reviews	restaurant_reviews
how do i get direct deposit set up	direct_deposit
who developed your actions	who_made_you
what you just said is wrong	no
does life have meaning	meaning_of_life
how many holidays are there and when is the next one here	next_holiday
what information can you give me on the meaning of life	meaning_of_life
ac temperature is at what	smart_home
direct me to the closest korean grocery	directions
i need help locating my phone	find_phone
please change your accent to the male british one	change_accent
get me an uber to the napa winery	uber
do i need shots to go to thailand	vaccines
on the 22nd of this month, we need to clear our calendar so we can leave it open for mark to visit	calendar_update
are reservations taken at spago in beverly hills	accept_reservations
my check engine light is on and someone needs to look at it	schedule_maintenance
what's happening on may 3rd	calendar
should i take a different route to work	traffic
please notify my bank i'm going to africa between tomorrow and next tuesday	travel_notification
please book an uber for chima's	uber
i want to change your name	change_ai_name
what day do i get paid next	payday
how many ounces are in 4 pounds	measurement_conversion
is it possible for me to take a pto for two days, starting february 7	pto_request
will it be okay for me to eat my leftover turkey from monday that's been in my fridge	food_last
how do i find information about my credit score	credit_score
let me bank know i will be in brazil from june 1st to july 1st	travel_notification
